title,release_date
Extraction 2,2023-06-09
Cell 211,2009-11-06
Ray,2004-10-29
Apollo 13,1995-06-30
Star Trek II: The Wrath of Khan,1982-06-04
Migration,2023-12-06
John Wick: Chapter 3 - Parabellum,2019-05-15
Miss Sloane,2016-11-25
Kung Fu Hustle,2004-02-10
Open Your Eyes,1997-12-19
The Unforgivable,2021-11-24
District 9,2009-08-05
The Guernsey Literary & Potato Peel Pie Society,2018-04-19
The Last Duel,2021-10-13
Captain America: Civil War,2016-04-27
Ocean's Eleven,2001-12-07
The Conjuring: The Devil Made Me Do It,2021-05-25
Wind River,2017-08-03
The Mauritanian,2021-02-12
Once Upon a Time... in Hollywood,2019-07-24
Lone Survivor,2013-12-24
Unbroken,2014-12-25
Lemonade Mouth,2011-04-15
Promising Young Woman,2020-12-13
They Call Me Jeeg,2016-02-25
Miracles from Heaven,2016-03-17
John Wick,2014-10-22
Predestination,2014-08-28
Nebraska,2013-09-21
Erin Brockovich,2000-03-17
Home Alone,1990-11-16
One Day,2011-03-02
Mission: Impossible - Fallout,2018-07-13
Star Wars: Episode III - Revenge of the Sith,2005-05-17
The Motorcycle Diaries,2004-02-06
Chaplin,1992-12-17
Sense and Sensibility,1995-12-13
American Sniper,2014-12-25
Star Trek,2009-05-06
The Bourne Ultimatum,2007-08-03
Contact,1997-07-11
The Farewell,2019-07-12
Nocturnal Animals,2016-11-04
Richard Jewell,2019-12-13
Spider-Man: Far From Home,2019-06-28
I Want You,2012-06-22
The Hunger Games: Catching Fire,2013-11-15
The Life of David Gale,2003-02-21
Duel,1971-11-13
Un Chien Andalou,1929-06-05
Doctor Strange,2016-10-25
I Can Quit Whenever I Want,2014-02-06
La Vie en Rose,2007-02-14
The Outlaw Josey Wales,1976-06-30
The Hurricane,1999-09-17
Scream,1996-12-20
The Last King of Scotland,2006-01-12
This Is Spinal Tap,1984-03-02
Enter the Dragon,1973-08-17
"Crouching Tiger, Hidden Dragon",2000-07-06
The Florida Project,2017-10-06
The Lego Movie,2014-02-06
Malena,2000-03-16
EverAfter,1998-07-31
August Rush,2007-11-21
Y Tu Mamá También,2001-06-08
The Godfather Part III,1990-12-25
Saw,2004-10-01
Nowhere,2023-09-29
Frida,2002-08-29
Enemy at the Gates,2001-02-28
Drive My Car,2021-08-18
Only the Brave,2017-09-22
Boys Don't Cry,1999-09-02
Creed,2015-11-25
Justice League: War,2014-01-21
Being John Malkovich,1999-10-29
The Stronghold,2021-08-18
The Raid,2012-03-22
When Harry Met Sally...,1989-07-21
Greyhound,2020-07-09
The Fly,1986-08-15
Clerks,1994-10-19
A Quiet Place,2018-04-03
Rushmore,1998-12-11
Tarzan,1999-06-18
The Omen,1976-06-25
Babylon,2022-12-22
The Peanut Butter Falcon,2019-08-09
American Psycho,2000-04-13
Sicario,2015-09-17
Life of Pi,2012-11-20
Inside Man,2006-03-17
Selma,2014-12-25
The Idea of You,2024-05-02
Mad Max 2,1981-12-24
The Experiment,2001-03-07
Frances Ha,2013-05-17
The Mission,1986-09-24
Once,2007-03-23
An American Werewolf in London,1981-08-21
The Devil Wears Prada,2006-06-29
Pain and Glory,2019-03-22
The Basketball Diaries,1995-04-21
As Good as It Gets,1997-12-19
PAW Patrol: The Movie,2021-08-09
My Girl,1991-11-27
Lost in Translation,2003-09-18
Stuck in Love,2013-06-14
Taken,2008-02-18
Enola Holmes 2,2022-11-30
Mudbound,2017-11-16
Grease,1978-07-07
Burning,2018-05-17
Law Abiding Citizen,2009-10-15
The Purple Rose of Cairo,1985-03-01
Braindead,1992-08-13
Ghostbusters: Afterlife,2021-11-18
The Fighter,2010-12-10
Falling Down,1993-02-26
Asterix & Obelix: Mission Cleopatra,2002-01-30
The Last of the Mohicans,1992-08-26
Legends of the Fall,1994-12-23
Interview with the Vampire,1994-11-11
The Hunt for Red October,1990-03-02
Through My Window,2022-02-04
Moonlight,2016-10-21
Black Panther,2018-02-13
Submarine,2011-03-18
Black Hawk Down,2001-12-28
The Piano,1993-05-18
The Remains of the Day,1993-11-05
The Boss Baby: Family Business,2021-07-01
Those Happy Days,2006-06-28
The Way of the Dragon,1972-12-30
Beetlejuice,1988-03-30
No Time to Die,2021-09-29
Office Space,1999-02-19
A Time to Kill,1996-07-24
If I Stay,2014-08-21
Turning Red,2022-03-10
Ghostland,2018-03-14
Serenity,2005-09-25
Jungle Cruise,2021-07-28
I Can Quit Whenever I Want 2: Masterclass,2017-02-02
Fruitvale Station,2013-07-26
Only Yesterday,1991-07-20
The Hating Game,2021-12-09
Pelé: Birth of a Legend,2016-05-06
The Girl with the Dragon Tattoo,2011-12-14
Dungeons & Dragons: Honor Among Thieves,2023-03-23
My Sister's Keeper,2009-06-26
Eraserhead,1977-09-28
A Dog's Way Home,2019-01-10
Rise of the Guardians,2012-11-21
The Social Network,2010-10-01
Okja,2017-06-28
Blow Out,1981-07-24
Blow,2001-04-04
Blow-Up,1966-12-18
Decision to Leave,2022-06-29
Southpaw,2015-03-24
The Impossible,2012-09-09
The Great Gatsby,2013-05-09
The Wicker Man,1973-12-06
Twin Peaks: Fire Walk with Me,1992-06-03
Tucker and Dale vs. Evil,2010-01-22
Pirates of the Caribbean: Dead Man's Chest,2006-07-06
Black Box,2021-09-08
The Sea Beast,2022-06-24
Philomena,2013-11-01
Glengarry Glen Ross,1992-09-15
Eastern Promises,2007-09-14
Descendants 2,2017-07-21
Ice Age,2002-03-10
Match Point,2005-10-26
High Plains Drifter,1973-04-19
Perfume: The Story of a Murderer,2006-09-13
Jackie Brown,1997-12-25
Adaptation.,2002-12-06
Air,2023-04-05
The Hobbit: An Unexpected Journey,2012-12-12
The Beekeeper,2024-01-08
The Little Mermaid,1989-11-17
Road to Perdition,2002-07-12
Fantasia,1940-11-13
Cherry,2021-02-26
Darkest Hour,2017-11-22
Close Encounters of the Third Kind,1977-12-14
The Big Short,2015-12-11
Minority Report,2002-06-20
The Physician,2013-12-25
Saving Mr. Banks,2013-11-29
The Big Sick,2017-03-30
Chemical Hearts,2020-08-21
Split,2017-01-19
20th Century Women,2016-12-28
Jacob's Ladder,1990-11-02
Judas and the Black Messiah,2021-02-12
Minari,2021-02-12
End of Watch,2012-09-20
The Abyss,1989-08-09
Papillon,2017-09-07
The Zookeeper's Wife,2017-03-24
Now You See Me,2013-05-29
The Terminal,2004-06-17
Goldfinger,1964-09-20
Meet Joe Black,1998-11-12
The Butler,2013-08-16
Wreck-It Ralph,2012-11-01
French Fried Vacation 2: The Bronzés go Skiing,1979-11-22
A Nightmare on Elm Street,1984-10-31
Dirty Dancing,1987-08-21
Lolita,1962-06-13
The Equalizer 3,2023-08-30
Spider-Man: Homecoming,2017-07-05
Watchmen,2009-03-04
The Wailing,2016-05-12
A Very Long Engagement,2004-10-27
John Wick: Chapter 2,2017-02-08
Palm Springs,2020-07-10
The Mafia Kills Only in Summer,2013-11-28
Les Misérables,2012-12-18
Possession,1981-05-27
Dazed and Confused,1993-09-24
The Twelve Tasks of Asterix,1976-06-26
"O Brother, Where Art Thou?",2000-08-30
21 Grams,2003-09-06
Dawn of the Planet of the Apes,2014-07-08
Star Trek Into Darkness,2013-05-05
25th Hour,2002-12-19
Rocketman,2019-05-17
Extraction,2020-04-23
Minions: The Rise of Gru,2022-06-29
Enter the Void,2009-06-17
Gangs of New York,2002-12-14
Rise of the Planet of the Apes,2011-08-03
Kirikou and the Sorceress,1998-12-09
Pay It Forward,2000-10-20
Dark City,1998-02-27
Last Night in Soho,2021-10-21
Batman: Assault on Arkham,2014-08-12
Now Is Good,2012-09-19
RoboCop,1987-07-17
Dog,2022-02-17
The Guilty,2018-02-22
Sonic the Hedgehog,2020-02-12
Fantastic Beasts and Where to Find Them,2016-11-16
The Hobbit: The Battle of the Five Armies,2014-12-10
Brothers,2009-12-02
The Bourne Supremacy,2004-07-23
Dead Man Walking,1995-12-29
The Hangover,2009-06-02
The Kite Runner,2007-12-14
Precious,2009-11-06
Monty Python's The Meaning of Life,1983-03-31
Finding Neverland,2004-10-17
The Judge,2014-10-08
Ghost Dog: The Way of the Samurai,1999-10-06
Lord of War,2005-09-16
Becoming Jane,2007-03-02
Funny Games,1997-08-23
Christiane F.,1981-04-02
What's in a Name,2012-04-25
Violent Night,2022-11-30
Deliverance,1972-08-18
Transformers: Rise of the Beasts,2023-06-06
Christopher Robin,2018-08-01
Phantom Thread,2017-12-25
Martyrs,2008-06-12
Love and Monsters,2020-10-16
Brooklyn,2015-10-20
Dead Man,1995-12-23
Delicatessen,1991-04-17
Batman Beyond: Return of the Joker,2000-12-12
Patch Adams,1998-12-25
Bridge to Terabithia,2007-02-15
Harry Potter 20th Anniversary: Return to Hogwarts,2022-01-01
War Horse,2011-12-25
Maleficent: Mistress of Evil,2019-10-16
The Hundred-Foot Journey,2014-08-06
Carrie,1976-11-03
Tinker Bell and the Legend of the NeverBeast,2014-12-12
5 Centimeters per Second,2007-03-03
Trolls World Tour,2020-03-11
Woman in Gold,2015-03-20
The Hidden Face,2011-09-16
True Grit,2010-12-22
Heathers,1989-03-31
"Good Morning, Vietnam",1987-12-23
Land of Bad,2024-01-25
Gone Baby Gone,2007-09-18
Source Code,2011-03-30
Total Recall,1990-06-01
The Fundamentals of Caring,2016-06-16
Robin Hood,1973-11-08
X-Men: First Class,2011-06-01
Spider-Man,2002-05-01
To Catch a Thief,1955-08-03
The Aristocats,1970-11-13
Balto,1995-12-22
Indiana Jones and the Temple of Doom,1984-05-23
Suburra,2015-10-14
The Illusionist,2006-08-18
Airplane!,1980-07-02
The Conjuring 2,2016-06-08
Hell or High Water,2016-08-11
13 Assassins,2010-09-09
Three Days of the Condor,1975-09-24
The Evil Dead,1981-09-10
Star Trek: First Contact,1996-11-22
Pitch Perfect,2012-09-28
Shutter,2004-09-09
They Live,1988-11-04
The Hours,2002-12-27
Doctor Strange in the Multiverse of Madness,2022-05-04
Run Lola Run,1998-08-20
Hereditary,2018-06-07
Kung Fu Panda,2008-06-04
Lethal Weapon,1987-03-06
Detroit,2017-07-28
Little Women,1994-12-21
Justice League Dark,2017-01-24
Battle Royale,2000-12-16
A Single Man,2009-12-11
The Texas Chain Saw Massacre,1974-10-11
(500) Days of Summer,2009-07-17
The Devil's Backbone,2001-04-20
Suite Française,2015-03-12
Frost/Nixon,2008-10-15
Spider-Man 2,2004-06-25
The Jungle Book,1967-10-18
Pearl,2022-09-16
The Prince of Egypt,1998-12-16
Enola Holmes,2020-09-23
Moneyball,2011-09-23
The Equalizer,2014-09-24
Argo,2012-10-11
Labyrinth,1986-06-27
House of Flying Daggers,2004-05-19
Rocky II,1979-06-15
Shrek 2,2004-05-19
Fracture,2007-04-19
13 Hours: The Secret Soldiers of Benghazi,2016-01-14
Star Wars: The Force Awakens,2015-12-15
Stardust,2007-08-09
Videodrome,1983-02-04
The Family Plan,2023-12-14
Avengers: Age of Ultron,2015-04-22
Assault on Precinct 13,1976-10-08
The Fisher King,1991-09-20
Manhattan Murder Mystery,1993-05-02
Leaving Las Vegas,1995-10-27
Ip Man 4: The Finale,2019-12-19
Clueless,1995-07-19
Lava,2014-10-10
Colonia,2015-06-24
Brother Bear,2003-10-23
"South Park: Bigger, Longer & Uncut",1999-06-30
Stranger Than Fiction,2006-09-09
Die Hard: With a Vengeance,1995-05-19
Lady Bird,2017-09-01
A Monster Calls,2016-10-07
"OSS 117: Cairo, Nest of Spies",2006-04-19
Green Street Hooligans,2005-09-09
Cape Fear,1991-11-13
The Many Adventures of Winnie the Pooh,1977-03-11
Despicable Me 4,2024-06-20
Run,2020-11-20
Zombieland,2009-10-02
Frozen II,2019-11-20
Safe Haven,2013-02-07
The Road to El Dorado,2000-03-31
Notting Hill,1999-05-21
Pirates of the Caribbean: At World's End,2007-05-19
Marrowbone,2017-10-27
"Crazy, Stupid, Love.",2011-07-29
The Piano Teacher,2001-09-05
West Side Story,1961-12-13
Army of Darkness,1992-10-31
Biutiful,2010-10-20
The Hurt Locker,2008-10-10
Pleasantville,1998-09-17
A Christmas Story,1983-11-18
Tell No One,2006-11-01
Man on the Moon,1999-12-22
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31
DC League of Super-Pets,2022-07-27
Race,2016-02-19
The Boondock Saints,1999-01-22
Blazing Saddles,1974-02-07
The Naked Gun: From the Files of Police Squad!,1988-12-02
The Phantom of the Opera,2004-12-08
Superbad,2007-03-20
Suffragette,2015-10-16
The Sword in the Stone,1963-12-25
Bicentennial Man,1999-12-17
Fast Five,2011-04-20
The Boat That Rocked,2009-04-01
The City of Lost Children,1995-05-17
Frozen,2013-11-20
Hunger,2008-05-15
"Everything, Everything",2017-05-18
The Shape of Water,2017-12-01
The Vow,2012-02-05
Blood Simple,1985-01-18
The Last Temptation of Christ,1988-05-28
Despicable Me,2010-07-08
Milk,2008-11-05
"Planes, Trains and Automobiles",1987-11-26
Black Widow,2021-01-01
The Painted Veil,2006-12-09
Frequency,2000-04-28
It,2017-09-06
Coherence,2013-09-19
Begin Again,2013-09-07
Skyfall,2012-10-24
The Last Song,2010-03-31
Jumanji,1995-12-15
Love Me If You Dare,2003-09-17
The Gods Must Be Crazy,1980-09-10
Saw X,2023-09-27
Last Christmas,2019-11-07
Hocus Pocus 2,2022-09-30
Driving Miss Daisy,1989-12-13
#Alive,2020-06-24
Headhunters,2011-08-26
Alita: Battle Angel,2019-01-31
Furious 7,2015-04-01
National Lampoon's Christmas Vacation,1989-11-30
Happiest Season,2020-11-26
Every Day,2018-02-22
Bridge of Spies,2015-10-15
Only Lovers Left Alive,2013-12-12
The Aviator,2004-12-17
Collateral Beauty,2016-12-15
The Orphanage,2007-05-20
Batman,1989-06-21
Irreversible,2002-05-22
Secret of the Wings,2012-08-17
Clue,1985-12-13
The Lego Batman Movie,2017-02-08
Wonder Woman,2017-05-30
Over the Moon,2020-10-16
Escape from Pretoria,2020-03-06
Collateral,2004-08-04
28 Days Later,2002-10-31
Lady and the Tramp,2019-11-12
Trading Places,1983-06-07
Peter Pan,1953-02-05
To the Bone,2017-01-22
Crash,2005-05-06
Monster,2003-12-24
Tootsie,1982-12-17
The Outsiders,1983-03-25
Jane Eyre,2011-03-11
The Dreamers,2003-09-01
Ghost,1990-07-13
Big Trouble in Little China,1986-05-30
It's Only the End of the World,2016-08-26
The Town,2010-09-15
Sherlock Holmes,2009-12-23
Ferdinand,2017-12-09
The Intern,2015-09-23
The Devil All the Time,2020-09-11
The Princess and the Frog,2009-12-08
Mean Girls,2004-04-30
A Fish Called Wanda,1988-07-15
Teen Titans Go! To the Movies,2018-07-27
The Hunger Games,2012-03-12
The Lincoln Lawyer,2011-03-17
Open Range,2003-08-29
I Am Legend,2007-12-12
Marathon Man,1976-10-08
3:10 to Yuma,2007-09-06
Fear and Loathing in Las Vegas,1998-05-19
Nomadland,2021-01-29
War for the Planet of the Apes,2017-07-11
Invasion of the Body Snatchers,1978-12-20
Mission: Impossible - Rogue Nation,2015-07-23
[REC],2007-11-23
Marley & Me,2008-12-25
Midnight Run,1988-07-20
Reign Over Me,2007-03-22
The Kissing Booth,2018-05-11
Dangerous Liaisons,1988-12-21
Men in Black,1997-07-02
K-PAX,2001-10-26
Good Time,2017-08-11
Alice in Wonderland,1951-07-28
P.S. I Love You,2007-11-15
In the Mouth of Madness,1995-02-03
The NeverEnding Story,1984-04-06
Burlesque,2010-11-23
Beverly Hills Cop,1984-12-05
Inside Llewyn Davis,2013-10-18
Doubt,2008-12-12
The Parent Trap,1998-07-28
Limitless,2011-03-17
Thank You for Smoking,2005-09-09
Mrs. Doubtfire,1993-11-24
Clifford the Big Red Dog,2021-11-10
Riley's First Date?,2015-11-03
What Dreams May Come,1998-10-02
Fall,2022-08-11
Invictus,2009-12-11
A League of Their Own,1992-07-01
The Talented Mr. Ripley,1999-12-25
Sully,2016-09-07
Fear Street: 1978,2021-07-08
The Karate Kid,1984-06-22
Ralph Breaks the Internet,2018-11-20
Ballerina,2016-12-14
The Choice,2016-02-04
The Maze Runner,2014-09-10
Melancholia,2011-05-26
Tenet,2020-08-22
300,2007-03-07
The Secret Life of Walter Mitty,2013-12-18
The Patriot,2000-06-28
The Fall Guy,2024-04-24
After We Collided,2020-09-02
The Animatrix,2003-05-09
One Hundred and One Dalmatians,1961-01-25
The Bucket List,2007-12-25
Identity,2003-04-25
The Menu,2022-11-17
Babel,2006-10-26
Shin Godzilla,2016-07-29
Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20
42,2013-04-12
The English Patient,1996-11-14
Hugo,2011-11-22
50/50,2011-09-30
Pom Poko,1994-07-16
Lars and the Real Girl,2007-10-12
Out of Africa,1985-12-20
Eddie the Eagle,2016-02-25
Carnage,2011-09-16
Sleepy Hollow,1999-11-19
Kiss Kiss Bang Bang,2005-09-14
Peter Pan,2003-12-18
Elizabeth,1998-09-13
A History of Violence,2005-09-23
Godzilla x Kong: The New Empire,2024-03-27
Rust and Bone,2012-05-17
The Man Who Knew Infinity,2016-04-08
Midsommar,2019-07-03
What Happened to Monday,2017-08-18
Gravity,2013-10-03
The Last Castle,2001-10-19
Seven Years in Tibet,1997-09-12
The Edge of Seventeen,2016-11-18
The Darjeeling Limited,2007-09-07
The Guardians of the Galaxy Holiday Special,2022-11-24
Big,1988-06-03
Eighth Grade,2018-01-19
Wall Street,1987-12-10
Crimson Tide,1995-05-12
Dracula,1931-02-12
Troy,2004-05-13
Trumbo,2015-10-27
The Lucky One,2012-04-19
Matilda,1996-08-02
Talk to Me,2023-07-26
Point Break,1991-07-12
Brimstone,2016-03-12
Pale Rider,1985-06-28
Bullitt,1968-10-17
The Christmas Chronicles,2018-11-22
The King,2019-10-11
Friday,1995-04-26
Wonka,2023-12-06
Uncut Gems,2019-08-30
Following,1999-05-06
Master and Commander: The Far Side of the World,2003-11-14
The Way Way Back,2013-06-06
Boyka: Undisputed IV,2016-08-01
Marnie,1964-07-17
Doctor Sleep,2019-10-30
Challengers,2024-04-18
The Upside,2019-01-10
Munich,2005-12-23
The Professor and the Madman,2019-03-07
The Proposal,2009-06-02
Molly's Game,2017-12-07
Son of Saul,2015-06-11
The Old Guard,2020-07-10
We Were Soldiers,2002-03-01
Poltergeist,1982-06-04
Downton Abbey,2019-09-12
The House That Jack Built,2018-07-05
Final Fantasy VII: Advent Children,2005-07-14
Across the Universe,2007-09-14
Murder on the Orient Express,1974-11-22
The Fox and the Hound,1981-07-10
The Ballad of Buster Scruggs,2018-11-09
Unbreakable,2000-11-22
The Zone of Interest,2023-12-15
Tangled Ever After,2012-01-13
Silver Linings Playbook,2012-11-16
Punch-Drunk Love,2002-10-11
Sherlock Holmes: A Game of Shadows,2011-11-22
Bad Boys for Life,2020-01-15
The Land Before Time,1988-11-18
Stepmom,1998-12-25
The Guardian,2006-09-28
Star Trek IV: The Voyage Home,1986-11-26
Greenland,2020-07-29
Midway,2019-11-06
Superman,1978-12-14
Speed,1994-06-09
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
Kingdom of the Planet of the Apes,2024-05-08
The Return of the Living Dead,1985-04-25
8 Mile,2002-11-08
Angel Heart,1987-03-06
Descendants,2015-07-31
OSS 117: Lost in Rio,2009-04-15
The Cat Returns,2002-07-19
The Master,2012-09-14
The Rock,1996-06-07
Lolita,1997-09-27
After,2019-04-11
High Fidelity,2000-03-17
The Founder,2016-11-24
Fear Street: 1666,2021-07-14
Snow White and the Seven Dwarfs,1937-12-21
Silence,2016-12-22
Kick-Ass,2010-03-26
The Visitors,1993-01-27
The Doors,1991-03-01
Audition,2000-03-03
Creed III,2023-03-01
Magnum Force,1973-12-13
Ong-Bak,2003-01-21
Chicago,2002-12-10
The Spanish Apartment,2002-06-19
Shooter,2007-03-22
Little White Lies,2010-10-20
The Place,2017-11-04
Lady and the Tramp,1955-06-22
Chef,2014-05-08
Shaolin Soccer,2001-07-05
National Lampoon's Vacation,1983-07-29
The Nice Guys,2016-05-15
The Hunchback of Notre Dame,1996-06-21
Love Actually,2003-09-07
Pi,1998-07-10
Remember Me,2010-03-11
Anomalisa,2015-12-30
United 93,2006-04-28
The Exorcism of God,2022-03-11
The First King,2019-01-31
The Lion King,2019-07-12
The Disaster Artist,2017-03-12
Paterson,2016-11-17
Sing,2016-11-23
John Q,2002-02-15
Finding Forrester,2000-12-21
The Invisible Man,2020-02-26
Ruby Sparks,2012-07-25
The Dark Crystal,1982-12-17
The Virgin Suicides,2000-04-21
Kung Fu Panda 4,2024-03-02
Mamma Mia! Here We Go Again,2018-07-09
The Creator,2023-09-27
St. Vincent,2014-10-09
Gremlins,1984-06-08
Black Panther: Wakanda Forever,2022-11-09
Maze Runner: The Death Cure,2018-01-10
Field of Dreams,1989-04-21
Snowden,2016-09-15
La Femme Nikita,1990-02-21
A Ghost Story,2017-04-24
Aladdin,2019-05-22
Pinocchio,1940-02-23
Toc Toc,2017-09-01
Before the Devil Knows You're Dead,2007-09-26
The Half of It,2020-05-01
Fast X,2023-05-17
Whatever Works,2009-06-19
Witness,1985-02-08
Don't Look Up,2021-12-08
Top Secret!,1984-06-08
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15
The Outfit,2022-02-25
Belfast,2021-11-12
Maleficent,2014-05-28
Sideways,2004-10-22
The Holiday,2006-12-08
The Life Aquatic with Steve Zissou,2004-12-10
The Man from U.N.C.L.E.,2015-08-13
Blue Is the Warmest Color,2013-10-09
Constantine,2005-02-08
Climax,2018-09-19
A Tale of Two Sisters,2003-06-13
Rocky IV,1985-11-21
Triangle of Sadness,2022-09-18
Paddington,2014-11-24
Mission: Impossible - Ghost Protocol,2011-12-07
Concussion,2015-11-12
Fahrenheit 9/11,2004-06-25
Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
Space Sweepers,2021-02-05
22 July,2018-10-04
127 Hours,2010-11-12
Mean Streets,1973-10-14
F9,2021-05-19
Dope,2015-06-19
TÁR,2022-09-23
Hotel Transylvania: Transformania,2022-01-31
M3GAN,2022-12-28
The Light Between Oceans,2016-09-02
Dogtooth,2009-10-22
School of Rock,2003-10-03
Damsel,2024-03-07
The Angry Birds Movie 2,2019-08-02
Garden State,2004-07-28
The Next Three Days,2010-11-18
The Negotiator,1998-07-29
Ghost World,2001-07-20
The Accountant,2016-10-13
Ant-Man,2015-07-14
Easy Rider,1969-06-26
Kill Your Darlings,2013-10-16
Sleep Tight,2011-10-14
The Lovely Bones,2009-12-26
The Lost Boys,1987-07-31
Don't Breathe 2,2021-08-12
True Lies,1994-07-15
Bones and All,2022-11-18
An Officer and a Spy,2019-09-30
The Hudsucker Proxy,1994-03-11
WarGames,1983-06-03
The Space Between Us,2017-01-26
Escape from New York,1981-05-23
"The Legend of Al, John and Jack",2002-12-13
From Russia with Love,1963-10-10
Starship Troopers,1997-11-07
After We Fell,2021-09-01
The Northman,2022-04-07
Crazy Rich Asians,2018-08-15
The Wife,2018-08-02
Natural Born Killers,1994-08-26
Traffic,2000-12-27
Galaxy Quest,1999-12-25
Glass Onion: A Knives Out Mystery,2022-11-12
Scoob!,2020-07-08
Elephant,2003-09-20
Ready or Not,2019-08-21
Mud,2013-04-26
Superman/Shazam!: The Return of Black Adam,2010-11-16
The Great Mouse Detective,1986-07-02
Dawn of the Dead,2004-03-19
Top Gun,1986-05-16
Raising Arizona,1987-03-13
The Courier,2020-01-24
Legend,2015-09-09
The School for Good and Evil,2022-10-19
The French Dispatch,2021-10-21
Lawless,2012-08-29
The Girl Who Kicked the Hornet's Nest,2009-11-27
March of the Penguins,2005-01-26
Patriots Day,2016-12-12
Love & Other Drugs,2010-11-04
Raw,2016-11-11
Disconnect,2013-04-12
Juno,2007-12-05
The Matrix Reloaded,2003-05-15
The Lobster,2015-10-15
Re-Animator,1985-10-18
My Own Private Idaho,1991-02-01
Brain on Fire,2017-02-22
The Addams Family,1991-11-22
Ring,1998-01-31
Rush Hour,1998-09-18
Charlie and the Chocolate Factory,2005-07-13
First Man,2018-10-10
365 Days,2020-02-07
Cinderella,1950-02-22
Caché,2005-10-05
Scream VI,2023-03-08
Emma.,2020-02-13
Son of Batman,2014-05-13
Rose Island,2020-12-09
Finding Dory,2016-06-16
Equilibrium,2002-12-06
A.I. Artificial Intelligence,2001-06-29
The Adam Project,2022-03-11
Monsters University,2013-06-19
Hocus Pocus,1993-07-16
Enemy of the State,1998-11-20
Malcolm & Marie,2021-01-29
The Darkest Minds,2018-07-25
The Assassination of Jesse James by the Coward Robert Ford,2007-09-20
Mortal Kombat,2021-04-07
Face/Off,1997-06-27
Take Shelter,2011-09-30
Day of the Dead,1985-07-03
The Cider House Rules,1999-12-17
The Thirteenth Floor,1999-04-16
Far from the Madding Crowd,2015-04-23
The Report,2019-09-12
Boy Erased,2018-09-24
Soul Surfer,2011-04-08
Pieces of a Woman,2020-12-30
Creed II,2018-11-21
Vice,2018-12-25
X2,2003-04-27
American Graffiti,1973-08-11
Kung Fu Panda 2,2011-05-25
The Birdcage,1996-03-08
Ladyhawke,1985-03-27
A River Runs Through It,1992-10-09
Holidate,2020-10-27
The Killing of a Sacred Deer,2017-10-20
Barbie,2023-07-19
Booksmart,2019-05-24
Fright Night,1985-08-02
The Dead Zone,1983-10-21
From Dusk Till Dawn,1996-01-19
Eye in the Sky,2015-09-07
Bloodsport,1988-02-26
Nerve,2016-06-27
Red Dragon,2002-10-02
The Lake House,2006-06-16
The SpongeBob SquarePants Movie,2004-11-14
Amistad,1997-12-10
The House,2022-01-14
Twisters,2024-07-10
Wild at Heart,1990-08-17
Wild,2014-12-05
Real Steel,2011-09-28
Starstruck,2010-02-14
The Rainmaker,1997-11-18
Suck Me Shakespeer,2013-11-07
Brave,2012-06-21
Saltburn,2023-11-16
Manhunter,1986-08-14
The Princess Switch,2018-11-16
Willow,1988-05-20
Don't Breathe,2016-06-08
The Kings of Summer,2013-01-19
An Officer and a Gentleman,1982-07-28
Arlington Road,1999-03-19
Shazam!,2019-03-29
Atlantis: The Lost Empire,2001-06-02
Bambi,1942-02-11
"Extremely Wicked, Shockingly Evil and Vile",2019-05-02
The Death of Stalin,2017-10-20
The Way Back,2010-11-22
Naked Lunch,1991-12-27
Lethal Weapon 2,1989-07-07
Inland Empire,2006-12-06
The Simpsons Movie,2007-07-25
Ip Man 3,2015-12-24
The Post,2017-12-22
Chip 'n Dale: Rescue Rangers,2022-05-20
Dumbo,1941-10-31
Eight Below,2006-02-17
Born on the Fourth of July,1989-12-20
The Road,2009-11-25
Rounders,1998-09-11
Star Trek VI: The Undiscovered Country,1991-12-06
The Full Monty,1997-08-13
While You Were Sleeping,1995-04-21
Dolemite Is My Name,2019-10-04
I See You,2019-09-11
X-Men,2000-07-13
Stargate,1994-10-28
The First Time,2012-10-19
This Must Be the Place,2011-08-24
Captain America: The First Avenger,2011-07-22
Strange Days,1995-10-13
The Pope's Exorcist,2023-04-05
West Side Story,2021-12-08
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12
Road House,2024-03-08
Matchstick Men,2003-09-12
The Girl Who Played with Fire,2009-09-18
First Reformed,2018-05-18
The Dressmaker,2015-10-29
Holy Motors,2012-07-02
Barbie as Rapunzel,2002-10-01
The Duchess,2008-09-05
Megamind,2010-10-28
Letters to Juliet,2010-05-13
Orphan,2009-07-24
Timecrimes,2007-11-01
The Addams Family 2,2021-10-01
Nightmare Alley,2021-12-02
Barbie of Swan Lake,2003-09-27
The Three Musketeers: D'Artagnan,2023-04-05
10 Cloverfield Lane,2016-03-10
Blue Jasmine,2013-08-01
The Constant Gardener,2005-08-31
Capote,2005-09-30
C'est la vie!,2017-10-04
The Guard,2011-07-07
Dr. No,1962-10-07
Labor Day,2013-12-27
Zero Dark Thirty,2012-12-19
The Age of Innocence,1993-09-10
The Platform,2019-11-08
Cool Runnings,1993-10-01
Werewolf by Night,2022-09-25
